Brands,Models,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),price(in lakhs)
Hyundai,i20 1.2 Magna,2011,Third Party insurance,Petrol,5,70000,Second Owner,Manual,2011,18.5,1197.0,1197.0,1.6
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,2017,Comprehensive,Petrol,5,63249,First Owner,Manual,2017,18.9,1197.0,1197.0,4.59
Maruti,Ertiga ZXI Plus,2016,Comprehensive,Petrol,7,82000,First Owner,Manual,2016,19.01,1462.0,1462.0,7.49
Maruti,Ciaz 1.4 Sigma,2019,Comprehensive,Petrol,5,38000,First Owner,Manual,2019,20.73,1373.0,1373.0,6.75
Kia,Carnival Prestige,2020,Third Party insurance,Diesel,7,40500,First Owner,Automatic,2020,14.11,2199.0,2199.0,25.25
Hyundai,i10 Sportz,2015,Comprehensive,Petrol,5,65170,Second Owner,Manual,2015,20.36,1197.0,1197.0,3.02
Honda,WR-V i-VTEC VX,2018,Comprehensive,Petrol,5,50000,First Owner,Manual,2018,17.5,1199.0,1199.0,7.25
Hyundai,i20 Asta Opt Turbo DCT BSVI,2021,Comprehensive,Petrol,5,30466,First Owner,Automatic,2021,20.28,998.0,998.0,10.5
Mercedes-Benz,E-Class Exclusive E 220d,2020,Comprehensive,Diesel,5,32000,Second Owner,Automatic,2020,16.1,1950.0,1950.0,44.5
Volvo,S90 D4 Momentum BSIV,2018,Third Party insurance,Diesel,5,50000,First Owner,Automatic,2018,18.0,1969.0,1969.0,33.0
Maruti,Swift Dzire VXI,2014,Comprehensive,Petrol,5,48946,First Owner,Manual,2014,19.1,1197.0,1197.0,4.11
BMW,X3 xDrive20d xLine,2017,Comprehensive,Diesel,5,43498,Second Owner,Automatic,2017,18.56,1995.0,1995.0,29.9
Mahindra,Thar LX 4-Str Convert Top AT BSVI,2022,Comprehensive,Petrol,4,8744,First Owner,Automatic,2022,15.2,1997.0,1997.0,16.01
Land,Rover Discovery Sport Petrol HSE 7S,2017,Comprehensive,Petrol,7,72000,First Owner,Automatic,2017,12.81,1997.0,1997.0,32.5
Hyundai,i20 Sportz 1.2,2017,Comprehensive,Petrol,5,71361,First Owner,Manual,2017,18.6,1197.0,1197.0,5.52
BMW,X1 sDrive 20d xLine,2017,Comprehensive,Diesel,5,60500,First Owner,Automatic,2017,20.68,1995.0,1995.0,19.95
